academic_year,university,ownership,region,program_count,admitted_count,source_id,institution_source_id
112,慈濟大學,私立,花蓮縣,17,144,uac-112-program-results,moe-114-institution-directory
112,東吳大學,私立,臺北市,24,1290,uac-112-program-results,moe-114-institution-directory
112,東海大學,私立,臺中市,49,1239,uac-112-program-results,moe-114-institution-directory
112,淡江大學,私立,新北市,52,2034,uac-112-program-results,moe-114-institution-directory
112,玄奘大學,私立,新竹市,8,7,uac-112-program-results,moe-114-institution-directory
112,真理大學,私立,新北市,29,26,uac-112-program-results,moe-114-institution-directory
112,義守大學,私立,高雄市,54,713,uac-112-program-results,moe-114-institution-directory
112,臺北市立大學,公立,臺北市,22,357,uac-112-program-results,moe-114-institution-directory
112,臺北醫學大學,私立,臺北市,16,331,uac-112-program-results,moe-114-institution-directory
112,輔仁大學,私立,新北市,56,1700,uac-112-program-results,moe-114-institution-directory
112,逢甲大學,私立,臺中市,40,1102,uac-112-program-results,moe-114-institution-directory
112,銘傳大學,私立,臺北市,58,1087,uac-112-program-results,moe-114-institution-directory
112,長庚大學,私立,桃園市,24,526,uac-112-program-results,moe-114-institution-directory
112,長榮大學,私立,臺南市,38,215,uac-112-program-results,moe-114-institution-directory
112,靜宜大學,私立,臺中市,35,575,uac-112-program-results,moe-114-institution-directory
112,馬偕醫學院,私立,新北市,5,128,uac-112-program-results,moe-114-institution-directory
112,高雄醫學大學,私立,高雄市,22,633,uac-112-program-results,moe-114-institution-directory
113,世新大學,私立,臺北市,25,941,uac-113-program-results,moe-114-institution-directory
113,中原大學,私立,桃園市,39,658,uac-113-program-results,moe-114-institution-directory
113,中國文化大學,私立,臺北市,67,1026,uac-113-program-results,moe-114-institution-directory
113,中國醫藥大學,私立,臺中市,17,305,uac-113-program-results,moe-114-institution-directory
113,中山醫學大學,私立,臺中市,22,788,uac-113-program-results,moe-114-institution-directory
113,中華大學,私立,新竹市,24,320,uac-113-program-results,moe-114-institution-directory
113,亞洲大學,私立,臺中市,39,485,uac-113-program-results,moe-114-institution-directory
113,佛光大學,私立,宜蘭縣,23,31,uac-113-program-results,moe-114-institution-directory
113,元智大學,私立,桃園市,27,559,uac-113-program-results,moe-114-institution-directory
113,南華大學,私立,嘉義縣,20,78,uac-113-program-results,moe-114-institution-directory
113,國立中央大學,公立,桃園市,32,679,uac-113-program-results,moe-114-institution-directory
113,國立中山大學,公立,高雄市,37,462,uac-113-program-results,moe-114-institution-directory
113,國立中正大學,公立,嘉義縣,33,804,uac-113-program-results,moe-114-institution-directory
113,國立中興大學,公立,臺中市,43,913,uac-113-program-results,moe-114-institution-directory
113,國立嘉義大學,公立,嘉義市,43,1100,uac-113-program-results,moe-114-institution-directory
113,國立宜蘭大學,公立,宜蘭縣,15,341,uac-113-program-results,moe-114-institution-directory
113,國立屏東大學,公立,屏東縣,32,365,uac-113-program-results,moe-114-institution-directory
